     x      y    phi  delta     xf     yf   phif passos Erro estacionamento Erro distancia
 78.83  66.61 168.03   1.00  49.84  95.64  88.10  47.00  89.84   1.15
 34.26  47.66 202.44   1.00  50.03 100.27  81.12  58.00 133.18   1.06
 64.93  40.79 -33.08   1.00  50.00  95.84  90.16  63.00 135.80   1.10
 56.12  94.92 211.50   1.00  50.00 100.76 101.21  10.00 110.61   1.18
 49.64   1.54 123.95   1.00  50.00  95.33  90.00  94.00  99.75   1.00
 60.02  55.89 -84.37   1.00  50.02  95.66  89.24  50.00 178.39   1.22
 87.63   3.61  57.65   1.00  50.00  95.08  90.00 114.00 104.06   1.15
 73.80  36.84 100.90   1.00  50.00  95.32  89.98  67.00  64.08   1.06
 19.70  33.14  24.34   1.00  49.99  95.95  89.70  75.00  95.58   1.08
  7.90  90.37 254.11   1.00   9.55 100.23  45.39  17.00 208.95   1.70
 56.61  56.19  56.50   1.00  50.00  95.51  90.18  41.00  52.19   1.03
 69.08  64.73 205.48   1.00  49.95  95.16  88.05  40.00 122.80   1.11
  6.93  53.30  59.74   1.00  43.73 100.09  60.12  60.00  59.53   1.01
 22.25  32.79  61.96   1.00  49.98  95.75  90.77  71.00  74.58   1.03
 75.05  31.06  51.77   1.00  50.00  95.28  89.97  74.00  78.81   1.07
  3.07  43.80 188.99   1.00  43.03 100.40  60.09  73.00 146.34   1.05
 25.16  33.45 -44.44   1.00  50.00  95.75  90.05  78.00 150.28   1.16
  4.37  98.84  43.01   1.00   5.84 100.20  43.01   2.00   2.00   1.00
 88.32  58.32  80.76   1.00  49.81  95.29  88.76  60.00  53.98   1.12
 24.66  53.93 241.08   1.00  48.06 100.44  77.48  59.00 171.69   1.13
 94.26  45.63 242.22   1.00  50.00  95.35  89.99  92.00 166.15   1.38
 29.03   0.65 -27.14   1.00  30.92  -0.02 -17.10   2.00  10.24   1.00
 58.93  23.55 -11.60   1.00  50.00  95.07  90.00  76.00 124.56   1.05
 87.54  56.45 -60.37   1.00  49.84  95.98  88.07  70.00 158.17   1.28
 31.76  93.58 253.99   1.00  29.91 100.48  51.99  13.00 202.12   1.82
 29.84  26.33 -63.86   1.00  50.00  95.90  90.00  83.00 170.05   1.15
 84.05  69.90  36.99   1.00  50.67 100.91 108.39  50.00  84.70   1.10
 56.34  53.90 200.61   1.00  50.00  95.27  89.99  45.00 118.27   1.08
 24.00  81.37 220.01   1.00  32.98 100.17  60.73  26.00 160.63   1.25
 35.28  95.47  54.29   1.00  38.11 100.76  61.91   6.00   9.70   1.00
 73.05  86.83 160.22   1.00  54.46 100.26 128.49  24.00  39.15   1.05
 22.62  90.24   6.40   1.00  37.02 100.14  61.04  19.00  57.36   1.09
 58.89  70.34 224.76   1.00  50.02  95.91  90.28  32.00 137.17   1.18
 24.80  76.06 178.90   1.00  37.55 100.56  60.01  30.00 122.05   1.09
  4.70  46.64 -28.25   1.00  50.12  95.06  92.49  78.00 137.79   1.17
 76.68   4.31 266.43   1.00  75.10  -0.39 241.35   5.00  25.57   1.01
 29.75  61.63 158.86   1.00  47.96 100.33  75.81  44.00  93.42   1.03
 66.14  93.21 179.84   1.00  56.88 100.28 128.57  12.00  52.58   1.03
 73.41  26.37 -87.03   1.00  50.00  95.28  90.00  88.00 191.40   1.21
 61.30  48.84 134.08   1.00  50.00  95.47  89.97  50.00  65.17   1.04
  5.91  56.11 204.16   1.00  37.49 100.40  60.49  59.00 153.63   1.08
 88.96  28.23  78.04   1.00  50.00  95.52  90.00  91.00  78.67   1.17
 63.75  63.74 165.19   1.00  50.02  95.43  89.29  37.00  83.39   1.07
 24.81  14.78 180.56   1.00  50.00  95.35  90.03  89.00 123.78   1.05
 20.85  30.22 134.55   1.00  50.03  95.65  91.99  74.00  83.33   1.03
 10.73  27.03  48.60   1.00  50.16  95.07  92.38  81.00  90.01   1.03
 22.40  91.65 -23.49   1.00  38.13 100.56  61.68  21.00  87.07   1.16
 25.58  59.77  -4.74   1.00  50.21  99.13  85.76  50.00 101.72   1.08
 16.43  20.06  59.83   1.00  49.99  95.56  89.73  86.00  87.87   1.04
 59.11  50.46 166.78   1.00  50.00  95.76  89.98  49.00  89.63   1.06
 72.38  77.02  25.31   1.00  56.25 100.45 128.49  30.00 107.03   1.05
  2.90  12.25 103.58   1.00  49.99  95.41  91.17  99.00  96.37   1.04
 45.57  72.10 252.26   1.00  49.01 100.78  75.70  35.00 178.90   1.21
 28.41  34.23 -28.90   1.00  50.00  95.06  90.01  71.00 135.30   1.10
 10.24  25.80  11.03   1.00  50.00  95.55  89.98  91.00 112.60   1.13
  8.87  14.45 113.02   1.00  49.97  95.10  90.03  94.00  93.39   1.04
 90.22  95.42 -22.32   1.00  92.02 100.47 116.32   7.00 138.74   1.31
 95.55  34.12 211.47   1.00  50.00  95.33  90.00  99.00 143.44   1.30
 71.60  94.51  -9.32   1.00  72.83 100.03 117.96   7.00 127.40   1.24
 30.37   4.45  20.20   1.00  50.00  95.11  90.00  96.00 116.08   1.03
 97.34  65.46  47.03   1.00  49.85 100.64  94.22  68.00  75.63   1.15
 49.44  31.60 253.94   1.00  50.00  95.18  90.00  72.00 175.84   1.13
 52.86  43.14 -30.60   1.00  50.00  95.74  89.99  57.00 131.59   1.08
 25.37  53.92  94.62   1.00  49.68 100.41  77.22  53.00  55.27   1.01
  1.67  23.38 184.86   1.00  -0.37  25.33 111.70   3.00  73.22   1.06
