    xi	    yi	  phii	 delta	    xf	    yf	  phif	sucesso	passos	 err_x	 err_y	err_phi	    EE	    ET
89.5499	64.8421	-12.8637	1.0000	91.8996	67.4969	85.7915	1.0000	4.0000	0.8380	0.3250	0.0468	53.1953	1.1283
18.3012	8.3126	186.4275	1.0000	16.2460	11.2049	88.2140	1.0000	4.0000	0.6751	0.8880	0.0198	95.0110	1.1273
43.4215	90.4449	227.6454	1.0000	40.5214	95.1347	70.8461	1.0000	8.0000	0.1896	0.0487	0.2128	21.9177	1.4508
15.6015	25.3480	81.0009	1.0000	47.7012	73.0189	72.6608	1.0000	58.0000	0.0460	0.2698	0.1927	32.1545	1.0092
94.7315	19.0457	-81.9230	1.0000	99.2126	20.3554	90.6698	1.0000	7.0000	0.9843	0.7964	0.0074	93.6247	1.4994
63.2588	31.3535	211.1800	1.0000	52.0916	39.3671	117.0420	1.0000	15.0000	0.0418	0.6063	0.3005	66.4228	1.0913
8.6957	97.9437	49.1738	1.0000	9.3718	98.6805	47.4594	1.0000	1.0000	0.8126	0.0132	0.4727	58.8396	1.0000
93.9419	35.8008	127.7650	1.0000	52.3839	55.4981	118.3691	1.0000	50.0000	0.0477	0.4450	0.3152	52.8290	1.0872
57.1784	10.9398	-16.8578	1.0000	59.8956	14.3931	87.8529	1.0000	5.0000	0.1979	0.8561	0.0239	86.2037	1.1379
47.7681	47.0968	-53.2016	1.0000	48.5539	46.4784	-38.2016	1.0000	1.0000	0.0289	0.5352	1.4245	138.9328	1.0000
3.9542	77.3357	-9.0609	1.0000	39.8080	95.6452	61.2660	1.0000	44.0000	0.2038	0.0435	0.3193	30.7974	1.0929
86.6534	34.3313	54.5512	1.0000	52.3936	60.2743	118.3261	1.0000	47.0000	0.0479	0.3973	0.3147	48.8491	1.0937
96.9253	21.8999	-48.9176	1.0000	100.3913	22.6994	49.9601	0.0000	4.0000	1.0078	0.7730	0.4449	100.5876	1.1245
62.0889	10.8196	245.5877	1.0000	52.4311	13.2450	118.1711	1.0000	12.0000	0.0486	0.8676	0.3130	91.2467	1.2051
69.8234	87.6287	228.1689	1.0000	54.9952	95.2566	128.4984	1.0000	19.0000	0.0999	0.0474	0.4278	39.1098	1.1394
61.4228	13.9661	2.7117	1.0000	52.4895	33.7200	118.4102	1.0000	24.0000	0.0498	0.6628	0.3157	72.1552	1.1070
3.2672	99.1265	94.1804	1.0000	3.4786	100.1039	77.7943	1.0000	1.0000	0.9304	0.0010	0.1356	48.0960	1.0000
88.1441	76.5036	-28.3059	1.0000	57.8930	95.6475	128.5344	1.0000	45.0000	0.1579	0.0435	0.4282	39.5745	1.2570
79.1993	53.1401	187.9548	1.0000	52.4141	68.2875	118.3166	1.0000	34.0000	0.0483	0.3171	0.3146	42.5833	1.1049
5.1177	92.8869	-39.3382	1.0000	33.5306	95.7453	52.6014	1.0000	30.0000	0.3294	0.0425	0.4155	41.0853	1.0506
99.9175	4.8351	157.1965	1.0000	52.2957	20.8763	118.9043	1.0000	55.0000	0.0459	0.7912	0.3212	84.2692	1.0945
51.0432	88.6869	266.7601	1.0000	50.7302	87.7371	251.7601	1.0000	1.0000	0.0146	0.1226	1.7973	162.2259	1.0000
45.5704	92.9120	168.9784	1.0000	44.0782	95.3056	97.4711	1.0000	3.0000	0.1184	0.0469	0.0830	10.6265	1.0636
9.1122	12.3507	197.7527	1.0000	47.5785	71.7744	70.7297	1.0000	75.0000	0.0484	0.2823	0.2141	34.2622	1.0595
41.8682	91.9055	-63.8839	1.0000	47.9324	91.4938	41.1161	1.0000	7.0000	0.0414	0.0851	0.5432	49.6615	1.1517
94.5109	36.7228	-4.8617	1.0000	96.4865	39.6680	93.4802	1.0000	4.0000	0.9297	0.6033	0.0387	76.2434	1.1279
57.9892	40.0048	122.7517	1.0000	52.3460	48.2314	118.5764	1.0000	10.0000	0.0469	0.5177	0.3175	59.1785	1.0024
