     x      y    phi  delta     xf     yf   phif passos Erro estacionamento Erro distancia
 82.92  67.36 238.69   1.00  50.00  95.62  88.77  58.00 156.07   1.34
 75.61  16.85 257.05   1.00  50.00  95.55  90.00 106.00 186.42   1.28
 34.83  59.85 173.30   1.00  46.11 100.00  73.39  43.00 108.27   1.03
 87.08  33.34  76.70   1.00  50.00  95.67  89.97  84.00  73.74   1.16
 16.69  46.64  74.29   1.00  49.48 100.54  76.66  64.00  63.14   1.01
 12.78  63.99 232.74   1.00  36.51 100.35  60.48  50.00 177.64   1.15
 42.74  17.58  16.16   1.00  50.00  95.74  90.00  80.00 107.76   1.02
  5.87   6.02 -80.40   1.00  10.05  -0.62 -40.33   8.00  40.83   1.02
 55.05  56.31  19.65   1.00  50.00  95.52  90.17  41.00  80.84   1.04
 75.45  67.11 248.34   1.00  50.03  95.62  89.52  53.00 163.35   1.39
 48.52  51.81 194.11   1.00  50.00  95.31  89.85  46.00 112.98   1.06
 57.12  76.65 241.26   1.00  50.05  95.43  90.30  26.00 152.28   1.30
 21.03  60.81  77.66   1.00  47.03 100.80  66.05  48.00  49.10   1.01
 61.67  20.31 153.94   1.00  50.00  95.35  90.00  79.00  99.27   1.04
  1.73  22.66 239.21   1.00  -0.08  21.94 189.23   2.00  50.02   1.02
 76.84  53.33 -65.38   1.00  49.92  95.37  87.85  62.00 161.16   1.24
 19.96   1.20 257.97   1.00  18.49  -0.09 209.13   2.00  48.87   1.02
 83.22  44.53 266.58   1.00  50.00  95.63  90.01  90.00 186.80   1.48
 79.43  48.86 -42.99   1.00  50.02  95.56  89.21  67.00 143.26   1.21
 21.22  83.11  26.56   1.00  38.94 100.72  60.28  26.00  41.96   1.04
 73.88  15.99 173.33   1.00  50.00  95.09  90.00  92.00 117.35   1.11
  5.37  71.44 -46.18   1.00  48.03 100.36  77.22  61.00 133.73   1.18
 98.40  59.31   7.04   1.00  49.85  95.44  94.19  72.00 106.11   1.19
 43.20  93.05  92.84   1.00  45.65 100.66  72.09   8.00  22.23   1.00
  6.41  65.91  71.70   1.00  35.97 100.74  60.23  46.00  47.10   1.01
 14.72  77.52 101.25   1.00  33.36 100.57  60.98  30.00  50.01   1.01
  8.79  90.05 222.53   1.00  10.74 100.38  45.63  15.00 177.21   1.43
  5.63  64.01 230.14   1.00  32.63 100.62  61.16  52.00 174.99   1.14
 34.77  66.67  73.61   1.00  44.70 100.23  73.52  35.00  35.00   1.00
 44.69   1.70 220.11   1.00  50.00  95.68  90.00  98.00 160.59   1.04
 93.78  47.88 115.14   1.00  50.01  95.33  90.28  77.00  69.18   1.19
 99.28  40.41 -10.86   1.00 100.25  40.64  13.27   1.00  24.14   1.00
